,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUADRO N° 4,,,,Contenido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE DE PRODUCCIÓN DE LA INDUSTRIA MANUFACTURERA (IPI-M) BASE: 2015=100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SERIE HISTÓRICA DE LA VARIACIÓN ACUMULADA DEL IPI-M, periodo enero 2016 -  septiembre 2020
POR CLASIFICACIÓN NACIONAL DE ACTIVIDADES ECONÓMICAS - CIIU
(Porcentaje)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C24,Fabricación de metales comunes.,5.91,9.13,2.19,27.70,28.89,26.72,12.13,26.51,29.75,63.78,37.29,58.04,-13.67,-26.66,-19.05,-29.77,-24.04,-13.98,-5.60,-21.52,-8.41,10.10,1.24,-9.22,2.19,-0.79,4.59,-7.40,-8.20,7.84,-0.63,12.22,4.75,14.05,6.87,4.37,5.66,11.94,8.37,6.39,-9.37,-15.07,-7.07,-12.87,-22.29,-13.35,-16.44,-21.13,14.62,33.34,29.23,17.42,21.74,58.21,65.17,80.58,54.26
3,C241,Industrias básicas de hierro y acero.,2.13,0.66,-17.54,35.43,37.97,25.92,14.48,9.29,15.47,63.34,22.38,34.37,-11.01,-33.54,-34.60,-39.32,-35.91,-26.17,-25.84,-23.95,-25.14,-19.32,-28.24,-20.10,-11.36,-3.97,-8.86,-12.25,-16.01,-4.14,-5.25,-14.49,-7.75,-8.56,1.07,6.65,1.49,36.97,25.74,25.60,-10.09,-28.75,-24.52,-30.93,-34.09,-29.13,-34.68,-17.03,9.43,72.48,63.54,37.72,53.30,115.96,117.39,157.45,90.72
3,C242,Fabricación de productos primarios de metales preciosos y metales no ferrosos.,10.88,20.30,28.19,17.52,16.92,27.76,9.03,49.20,48.57,64.35,56.95,89.23,-16.15,-20.22,-4.50,-20.82,-12.93,-2.58,13.34,-19.24,7.25,37.64,28.84,0.95,12.24,1.56,14.55,-3.81,-2.41,16.71,2.79,32.01,14.02,30.80,11.16,2.69,8.86,-7.32,-4.99,-8.39,-8.81,-4.55,6.35,1.02,-13.22,-1.22,-2.41,-24.29,19.00,0.34,0.31,0.31,-4.87,9.52,21.14,15.77,23.52
2,C25,"Fabricación de productos elaborados de metal, excepto maquinaria y equipo.",-16.71,-0.19,-16.89,-21.28,6.98,-16.64,-6.41,3.57,-10.15,-24.65,-23.10,-38.36,-20.95,-18.05,-17.03,-15.37,-19.72,-15.72,-15.17,-13.65,-14.72,-17.78,-17.15,-4.97,9.57,-13.33,10.85,-6.48,-8.87,-3.78,4.57,38.99,-0.12,-2.94,3.72,20.66,-16.24,-11.11,-10.52,-14.80,-5.89,-17.12,-9.01,-8.34,-12.71,-2.05,-17.66,-13.63,-1.91,-15.95,-30.60,-41.32,-14.05,34.13,42.19,37.37,147.00
3,C251,"Fabricación de productos metálicos para uso estructural, tanques, depósitos, recipientes de metal y generadores de vapor.",-32.78,1.33,-12.31,-13.77,10.08,-24.68,-1.53,13.50,-8.84,-24.61,-16.49,-34.49,-33.96,-28.42,-26.13,-28.33,-37.98,-31.27,-34.89,-30.25,-35.50,-41.38,-34.51,-22.35,-13.80,-32.87,-23.94,-24.07,-25.17,-20.62,-18.15,-16.54,-14.77,-12.08,0.67,14.58,-34.83,-15.57,-12.64,-10.03,4.26,-20.49,-8.64,-10.92,-11.07,6.02,-14.16,-5.19,-12.45,-21.94,-35.23,-47.30,-37.65,-26.20,-15.04,-25.53,-21.52
3,C259,"Fabricación de otros productos elaborados de metal, actividades de trabajos de metales.",11.29,-2.84,-24.86,-34.36,1.57,-2.63,-14.92,-13.73,-12.43,-24.71,-34.61,-45.10,6.10,3.49,1.89,11.56,18.23,16.60,25.84,20.86,28.48,31.30,18.95,31.16,38.34,10.72,53.67,15.17,11.19,16.93,32.52,107.33,17.92,8.32,7.47,28.14,4.23,-6.20,-8.19,-20.06,-17.06,-13.41,-9.42,-5.49,-14.50,-10.94,-21.50,-22.93,12.36,-7.83,-24.33,-33.22,17.89,115.81,119.68,122.52,375.15
2,C26,"Fabricación de productos de informática, electrónica y óptica.",-0.02,-83.59,-83.50,-24.95,-58.42,-65.79,-80.51,-17.18,-56.17,-55.50,-55.62,-55.69,1.20,298.29,224.82,81.59,96.82,159.97,160.25,324.09,301.99,360.17,421.33,141.03,-10.88,-14.07,1.69,6.51,43.87,-51.66,-31.11,-14.79,-10.60,15.82,54.17,-35.89,9.79,-36.00,24.58,118.88,88.97,187.52,211.39,170.54,388.00,189.75,292.97,246.32,-64.56,-65.53,-74.28,-74.22,-73.01,-61.10,-65.50,-43.04,-52.72
3,C264,Fabricación de aparatos electrónicos de consumo.,-0.02,-83.59,-83.50,-24.95,-58.42,-65.79,-80.51,-17.18,-56.17,-55.50,-55.62,-55.69,1.20,298.29,224.82,81.59,96.82,159.97,160.25,324.09,301.99,360.17,421.33,141.03,-10.88,-14.07,1.69,6.51,43.87,-51.66,-31.11,-14.79,-10.60,15.82,54.17,-35.89,9.79,-36.00,24.58,118.88,88.97,187.52,211.39,170.54,388.00,189.75,292.97,246.32,-64.56,-65.53,-74.28,-74.22,-73.01,-61.10,-65.50,-43.04,-52.72
2,C27,Fabricación de equipo eléctrico.,22.95,-1.55,-12.64,-14.73,-20.40,-6.87,-0.66,-5.03,2.46,-3.89,8.51,24.20,-23.10,-24.38,-28.94,-35.11,-40.76,-33.51,-36.74,-38.37,-29.08,-30.89,-31.20,-32.50,22.56,46.66,59.98,46.15,74.46,54.00,52.70,64.41,194.24,209.31,164.26,180.71,73.97,52.46,19.90,-9.03,48.61,20.80,11.03,109.39,111.82,108.66,56.38,62.54,-25.84,-0.75,-42.69,-59.68,-38.96,-2.73,12.95,-8.02,-23.01
3,C271,"Fabricación de motores, generadores, transformadores eléctricos y aparatos de distribución y control de la energía eléctrica.",26.58,52.37,14.82,21.13,24.37,3.18,58.80,10.19,47.38,3.76,37.60,93.36,-27.89,-22.46,-12.49,-15.67,-21.83,-23.00,-26.90,-42.40,-20.61,-18.29,-16.85,-31.81,-34.01,-28.68,-29.67,-35.49,7.28,-31.01,-27.29,-29.26,-26.04,-10.91,-38.87,-12.29,-6.85,-7.53,2.11,-13.50,3.68,13.52,9.63,-8.53,-7.66,-28.78,-7.58,1.87,-36.30,-32.86,-42.91,-84.59,20.67,55.32,69.46,30.92,39.60
3,C272,"Fabricación de pilas, baterías y acumuladores.",0.00,0.00,0.00,-19.07,-3.07,8.06,-1.26,0.36,11.67,-5.91,10.81,31.47,-25.71,-30.07,-42.05,-52.43,-49.22,-39.98,-41.21,-41.23,-37.58,-35.11,-34.31,-35.35,2.44,18.26,17.02,5.04,19.59,13.40,9.65,22.67,-4.30,3.33,-7.95,3.59,-10.90,6.33,17.93,11.90,29.01,16.99,-5.45,12.83,10.53,-10.94,8.92,-3.08,8.12,8.31,-17.19,-42.81,-6.07,15.71,17.63,0.62,8.27
3,C275,Fabricación de aparatos de uso doméstico.,40.15,-17.50,-30.15,-21.84,-46.47,-21.12,-16.46,-13.43,-16.65,-4.61,-0.83,0.78,-18.92,-20.74,-25.81,-29.64,-43.95,-33.95,-38.92,-34.92,-26.30,-34.55,-38.60,-33.07,73.75,123.88,159.03,138.12,173.78,148.28,146.06,163.87,521.21,546.35,454.07,470.41,96.33,65.89,22.03,-12.26,56.21,22.37,14.30,136.97,140.55,140.08,69.96,77.36,-27.58,1.34,-44.32,-59.61,-44.05,-5.79,11.55,-9.30,-27.84
3,C279,Fabricación de otros tipos de equipo eléctrico.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.95,44.95,0.00,-72.95,-63.93,-65.43,-60.92,-69.34,-63.93,-52.81,-54.91,-75.95,-48.90,-39.88,-50.00,-10.00,-17.50,-10.00,-12.50,-14.75,-25.00,-31.94,-52.82,162.92,38.96,228.28,-85.35,-87.94,-88.94,-88.94,-88.94,-88.94,-90.82,-91.71,-88.02
2,C28,Fabricación de maquinaria y equipo n.c.p.,5.69,15.50,119.21,135.72,90.74,326.97,671.05,135.43,463.48,201.49,99.07,40.59,-5.48,-23.06,8.41,-13.61,1.82,-0.83,3.51,-15.13,9.25,36.48,-21.71,5.80,95.38,78.57,15.69,29.23,23.27,121.01,125.58,73.87,114.18,98.00,51.51,56.72,-0.98,60.61,-2.33,38.50,63.12,59.29,87.51,26.00,69.95,62.68,25.04,3.16,18.82,15.83,12.63,4.63,25.11,210.47,145.68,85.35,75.76
3,C281,"Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas.",0.00,9.45,139.01,164.17,91.18,403.19,840.63,161.45,567.69,247.06,93.67,23.75,-0.34,-24.05,4.28,-3.96,20.55,16.75,24.64,2.72,38.87,74.30,-14.74,30.82,108.04,93.90,17.39,36.47,29.73,122.92,144.22,78.39,124.80,112.72,37.15,70.38,-0.27,63.92,-0.38,41.95,66.05,65.79,95.67,25.98,75.47,68.81,26.21,1.93,24.07,21.30,19.15,10.49,32.62,233.33,163.21,98.05,87.62
3,C282,Fabricación de maquinaria de uso especial.,27.12,38.30,44.57,28.49,89.09,39.63,31.77,37.34,70.65,29.71,119.40,104.03,-17.22,-20.80,17.85,-35.66,-41.01,-41.01,-44.79,-55.93,-58.46,-50.00,-37.63,-51.39,17.51,-15.77,5.27,-15.33,-16.49,109.28,10.90,46.07,48.82,7.46,139.84,-27.33,-11.24,12.82,-30.40,-11.20,20.83,-34.44,-30.27,26.25,-9.78,-25.77,8.18,20.99,-45.01,-50.74,-66.56,-66.56,-66.12,-67.38,-67.38,-68.99,-68.33
2,C29,"Fabricación de vehículos automotores, remolques y semirremolques.",64.65,-4.83,60.80,-19.86,-24.03,-11.07,-15.23,-13.78,-15.39,-5.35,-1.48,1.73,-5.99,-36.09,11.00,2.78,10.39,28.60,11.51,24.32,1.72,26.25,25.50,16.33,-15.84,-16.66,-13.42,2.11,-9.74,-6.70,-10.18,-11.70,-9.61,-11.38,-3.79,-27.38,-5.30,-1.30,-4.00,-12.86,-11.60,-14.24,-38.91,-47.68,-13.77,-8.19,-0.57,-12.85,-20.55,-24.64,-46.18,-45.25,-45.25,-6.27,230.26,139.49,272.90
3,C291,Fabricación de vehículos automotores.,83.81,3.37,74.84,-22.06,-29.74,-7.43,-14.62,-13.57,-13.57,-1.17,3.32,7.43,-7.29,-37.57,12.83,4.62,13.75,34.27,16.96,29.76,7.01,32.02,31.36,20.85,-15.57,-17.26,-14.86,2.31,-9.53,-7.28,-10.79,-12.22,-9.26,-12.93,-3.04,-30.86,-2.65,1.08,0.08,-11.54,-11.28,-13.77,-45.59,-50.74,-16.35,-8.36,-3.92,-14.41,-18.63,-22.85,-47.03,-47.03,-47.03,-7.26,265.98,159.39,315.00
3,C292,Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques.,-45.38,-51.92,-19.83,-7.23,8.74,-32.01,-18.72,-15.03,-25.88,-29.35,-29.00,-31.00,5.63,-22.82,-5.31,-13.70,-19.61,-22.15,-37.24,-24.35,-45.57,-25.27,-26.90,-24.07,-19.74,-8.11,7.07,-0.77,-12.64,1.55,-1.46,-4.26,-14.62,10.57,-14.43,22.04,-26.66,-20.46,-36.87,-23.51,-14.19,-17.99,14.93,-23.02,6.98,-6.87,26.45,-0.27,-33.78,-36.98,-40.31,-32.95,-32.96,0.57,-16.92,1.80,-18.37
2,C31,Fabricación de muebles.,-7.29,-23.53,-3.64,-17.35,-6.91,-33.16,-35.49,-31.91,-28.20,-41.16,-43.64,-37.04,-24.06,-19.51,-13.45,-15.57,-10.64,-9.43,-9.26,1.41,-0.71,11.92,5.79,12.08,-22.50,-31.86,-13.47,-13.22,-7.21,-12.43,-20.09,-11.52,-5.89,-1.74,3.88,-10.45,-9.32,-9.54,-25.96,3.03,6.92,2.75,-0.72,5.01,6.97,6.13,-0.82,12.16,-9.50,-14.03,-32.96,-59.06,-22.99,1.95,9.79,2.36,10.26
3,C310,Fabricación de muebles.,-7.29,-23.53,-3.64,-17.35,-6.91,-33.16,-35.49,-31.91,-28.20,-41.16,-43.64,-37.04,-24.06,-19.51,-13.45,-15.57,-10.64,-9.43,-9.26,1.41,-0.71,11.92,5.79,12.08,-22.50,-31.86,-13.47,-13.22,-7.21,-12.43,-20.09,-11.52,-5.89,-1.74,3.88,-10.45,-9.32,-9.54,-25.96,3.03,6.92,2.75,-0.72,5.01,6.97,6.13,-0.82,12.16,-9.50,-14.03,-32.96,-59.06,-22.99,1.95,9.79,2.36,10.26
2,C32,Otras industrias manufactureras.,-23.91,-45.48,-53.26,-33.70,-44.40,-41.69,-46.91,-42.97,6.34,53.24,39.84,38.77,-4.58,-19.82,-15.51,-33.64,-48.58,-52.75,-56.41,-40.58,-52.02,-39.22,-47.96,-48.50,-15.87,-11.41,-14.30,-10.04,-3.74,4.54,-8.79,-14.98,-17.81,3.59,-7.63,1.86,-32.66,-22.76,-23.77,-23.07,-12.40,-13.59,-14.87,-16.66,-5.21,-9.79,-20.18,12.52,-23.60,-22.22,-24.95,-25.00,5.59,11.51,15.70,9.84,20.61
3,C321,"Fabricación de joyas, bisutería y artículos conexos.",-50.25,-39.93,-60.05,-7.06,-59.85,-57.05,-55.96,-46.34,83.48,193.10,162.45,163.45,-2.64,-26.90,-26.23,-47.96,-79.79,-82.51,-81.13,-73.86,-83.36,-80.73,-73.16,-67.50,-20.33,-36.80,-33.14,-24.75,-8.44,-7.16,-12.49,-28.58,-29.15,-11.53,-22.16,17.18,-31.07,-36.82,-41.84,-39.47,-10.86,-21.34,-32.15,-30.15,-5.42,-3.93,-21.41,44.19,-22.42,-29.71,-30.39,-30.39,2.12,2.12,6.50,6.00,7.27
3,C324,Fabricación de juegos y juguetes.,-16.40,-87.00,-90.16,-92.31,-88.79,-77.56,-77.76,-76.10,-73.77,-42.72,-48.42,-40.73,-69.95,-66.85,-62.99,-66.18,-43.01,-58.84,-43.22,-8.73,-21.92,24.02,-25.16,-47.96,-49.68,-56.25,-71.56,-53.50,-81.25,-53.99,-59.31,-61.30,-28.60,37.48,30.09,10.23,-88.12,-79.83,-80.02,-83.33,-85.32,-78.44,-65.36,-66.10,-37.51,-46.25,-55.98,-54.58,-39.10,-54.25,-60.18,-60.18,-59.87,-37.51,13.52,24.44,126.46
3,C329,Otras industrias manufactureras n.c.p.,-0.70,1.03,2.70,8.49,32.02,23.66,4.10,3.89,13.16,2.20,0.43,-14.53,46.30,49.40,68.11,50.46,66.49,67.18,26.92,59.05,41.70,63.99,28.62,24.09,1.29,30.97,26.13,21.04,30.01,38.24,13.86,16.06,-2.34,6.14,-7.11,-16.70,-7.45,25.44,29.69,30.03,21.54,29.51,34.63,26.96,11.08,-0.04,-0.70,0.87,-22.54,0.08,-6.06,-6.22,27.22,41.46,34.81,14.35,24.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Para obtener información detallada del IPI-M Base: 2015=100 solicitarla al INEC: http://www.ecuadorencifras.gob.ec/requerimientos-de-informacion/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: Sistema de Indicadores de la Producción (SIPRO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
