,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUADRO N° 2,,,,Contenido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE DE PRODUCCIÓN DE LA INDUSTRIA MANUFACTURERA (IPI-M) BASE: 2015=100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SERIE HISTÓRICA DE LA VARIACIÓN MENSUAL DEL IPI-M, periodo enero 2016 -  septiembre 2020
POR CLASIFICACIÓN NACIONAL DE ACTIVIDADES ECONÓMICAS - CIIU
(Porcentaje)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C242,Fabricación de productos primarios de metales preciosos y metales no ferrosos.,10.88,8.49,6.56,-8.33,-0.51,9.27,-14.66,36.84,-0.42,10.62,-4.50,20.57,-16.15,-4.86,19.70,-17.09,9.96,11.89,16.35,-28.75,32.80,28.33,-6.39,-21.64,12.24,-9.51,12.79,-16.02,1.45,19.60,-11.93,28.42,-13.63,14.72,-15.02,-7.62,8.86,-14.86,2.52,-3.59,-0.45,4.67,11.41,-5.01,-14.09,13.82,-1.20,-22.42,19.00,-15.69,-0.03,0.00,-5.16,15.13,10.60,-4.43,6.70
2,C25,"Fabricación de productos elaborados de metal, excepto maquinaria y equipo.",-16.71,19.83,-16.72,-5.28,35.89,-22.08,12.27,10.67,-13.25,-16.13,2.05,-19.84,-20.95,3.67,1.25,1.99,-5.14,4.99,0.65,1.79,-1.24,-3.59,0.77,14.69,9.57,-20.90,27.90,-15.63,-2.56,5.58,8.68,32.92,-28.13,-2.82,6.85,16.33,-16.24,6.12,0.67,-4.79,10.46,-11.93,9.78,0.74,-4.77,12.20,-15.93,4.89,-1.91,-14.31,-17.43,-15.44,46.46,56.06,6.01,-3.39,79.81
3,C251,"Fabricación de productos metálicos para uso estructural, tanques, depósitos, recipientes de metal y generadores de vapor.",-32.78,50.73,-13.46,-1.66,27.66,-31.58,30.73,15.26,-19.68,-17.30,10.76,-21.55,-33.96,8.40,3.20,-2.98,-13.46,10.82,-5.28,7.13,-7.53,-9.12,11.74,18.55,-13.80,-22.12,13.29,-0.17,-1.45,6.09,3.11,1.96,2.12,3.16,14.50,13.82,-34.83,29.56,3.47,2.98,15.89,-23.74,14.90,-2.49,-0.17,19.22,-19.03,10.45,-12.45,-10.84,-17.03,-18.63,18.31,18.35,15.12,-12.34,5.38
3,C259,"Fabricación de otros productos elaborados de metal, actividades de trabajos de metales.",11.29,-12.70,-22.66,-12.64,54.73,-4.14,-12.62,1.40,1.50,-14.02,-13.15,-16.04,6.10,-2.45,-1.55,9.49,5.97,-1.37,7.92,-3.96,6.31,2.20,-9.41,10.27,38.34,-19.97,38.80,-25.05,-3.46,5.17,13.33,56.45,-43.12,-8.14,-0.79,19.24,4.23,-10.01,-2.11,-12.93,3.74,4.41,4.61,4.33,-9.53,4.17,-11.87,-1.81,12.36,-17.97,-17.90,-11.75,76.53,83.06,1.79,1.29,113.54
2,C26,"Fabricación de productos de informática, electrónica y óptica.",-0.02,-83.58,0.56,354.76,-44.60,-17.72,-43.04,325.03,-47.08,1.53,-0.27,-0.16,1.20,293.58,-18.45,-44.10,8.39,32.08,0.11,62.95,-5.21,14.47,13.29,-53.77,-10.88,-3.58,18.34,4.74,35.08,-66.40,42.52,23.69,4.92,29.55,33.11,-58.42,9.79,-41.71,94.67,75.69,-13.66,52.15,8.30,-13.12,80.38,-40.63,35.63,-11.87,-64.56,-2.74,-25.37,0.24,4.70,44.11,-11.31,65.10,-17.00
3,C264,Fabricación de aparatos electrónicos de consumo.,-0.02,-83.58,0.56,354.76,-44.60,-17.72,-43.04,325.03,-47.08,1.53,-0.27,-0.16,1.20,293.58,-18.45,-44.10,8.39,32.08,0.11,62.95,-5.21,14.47,13.29,-53.77,-10.88,-3.58,18.34,4.74,35.08,-66.40,42.52,23.69,4.92,29.55,33.11,-58.42,9.79,-41.71,94.67,75.69,-13.66,52.15,8.30,-13.12,80.38,-40.63,35.63,-11.87,-64.56,-2.74,-25.37,0.24,4.70,44.11,-11.31,65.10,-17.00
2,C27,Fabricación de equipo eléctrico.,22.95,-19.93,-11.26,-2.40,-6.65,17.00,6.67,-4.40,7.88,-6.19,12.90,14.45,-23.10,-1.66,-6.04,-8.68,-8.70,12.24,-4.85,-2.58,15.06,-2.55,-0.44,-1.90,22.56,19.67,9.08,-8.65,19.37,-11.73,-0.84,7.67,78.97,5.12,-14.56,6.23,73.97,-12.36,-21.36,-24.13,63.35,-18.71,-8.09,88.59,1.16,-1.49,-25.06,3.94,-25.84,33.84,-42.26,-29.64,51.36,59.36,16.13,-18.57,-16.29
3,C271,"Fabricación de motores, generadores, transformadores eléctricos y aparatos de distribución y control de la energía eléctrica.",26.58,20.38,-24.65,5.50,2.67,-17.03,53.90,-30.61,33.75,-29.59,32.60,40.53,-27.89,7.53,12.85,-3.63,-7.31,-1.50,-5.05,-21.20,37.82,2.92,1.76,-17.99,-34.01,8.07,-1.39,-8.27,66.29,-35.69,5.40,-2.71,4.54,20.46,-31.38,43.49,-6.85,-0.73,10.42,-15.28,19.86,9.49,-3.43,-16.56,0.96,-22.87,29.76,10.22,-36.30,5.40,-14.97,-73.01,683.06,28.71,9.10,-22.74,6.62
3,C272,"Fabricación de pilas, baterías y acumuladores.",0.00,0.00,0.00,-19.07,19.76,11.49,-8.62,1.64,11.27,-15.74,17.77,18.64,-25.71,-5.87,-17.13,-17.92,6.76,18.20,-2.05,-0.04,6.22,3.95,1.24,-1.58,2.44,15.45,-1.05,-10.24,13.85,-5.18,-3.30,11.88,-21.98,7.97,-10.91,12.53,-10.90,19.34,10.91,-5.11,15.28,-9.31,-19.19,19.33,-2.04,-19.42,22.30,-11.02,8.12,0.18,-23.55,-30.94,64.25,23.20,1.66,-14.46,7.61
3,C275,Fabricación de aparatos de uso doméstico.,40.15,-41.14,-15.32,11.89,-31.51,47.35,5.91,3.63,-3.71,14.44,3.96,1.62,-18.92,-2.24,-6.40,-5.17,-20.33,17.83,-7.52,6.54,13.25,-11.19,-6.20,9.01,73.75,28.85,15.70,-8.07,14.97,-9.31,-0.89,7.24,135.42,4.05,-14.28,2.95,96.33,-15.50,-26.44,-28.10,78.04,-21.67,-6.59,107.32,1.51,-0.20,-29.20,4.36,-27.58,39.93,-45.06,-27.45,38.51,68.39,18.41,-18.69,-20.44
3,C279,Fabricación de otros tipos de equipo eléctrico.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.95,0.00,0.00,-72.95,33.33,-4.17,13.04,-21.54,17.65,30.83,-4.46,-46.67,112.50,17.65,-50.00,80.00,-8.33,9.09,-2.78,-2.57,-12.02,-9.25,-30.68,457.27,-47.15,136.24,-85.35,-17.64,-8.33,0.00,0.00,0.00,-17.00,-9.64,44.44
2,C28,Fabricación de maquinaria y equipo n.c.p.,5.69,9.28,89.80,7.53,-19.08,123.85,80.59,-69.47,139.34,-46.50,-33.97,-29.38,-5.48,-18.60,40.90,-20.31,17.86,-2.60,4.38,-18.01,28.73,24.92,-42.63,35.14,95.38,-8.61,-35.21,11.70,-4.61,79.29,2.07,-22.92,23.18,-7.55,-23.48,3.44,-0.98,62.20,-39.19,41.80,17.77,-2.34,17.71,-32.80,34.88,-4.28,-23.14,-17.50,18.82,-2.52,-2.76,-7.10,19.57,148.16,-20.87,-24.56,-5.17
3,C281,"Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas.",0.00,9.45,118.38,10.53,-27.63,163.21,86.93,-72.20,155.38,-48.02,-44.20,-36.10,-0.34,-23.79,37.31,-7.91,25.53,-3.16,6.76,-17.59,35.20,25.52,-51.09,53.44,108.04,-6.80,-39.46,16.26,-4.94,71.83,9.56,-26.96,26.01,-5.37,-35.52,24.23,-0.27,64.36,-39.23,42.49,16.98,-0.15,18.02,-35.62,39.28,-3.80,-25.24,-19.24,24.07,-2.23,-1.78,-7.27,20.03,151.35,-21.04,-24.76,-5.27
3,C282,Fabricación de maquinaria de uso especial.,27.12,8.79,4.54,-11.12,47.16,-26.16,-5.63,4.23,24.25,-23.99,69.15,-7.00,-17.22,-4.32,48.79,-45.40,-8.32,0.00,-6.41,-20.17,-5.74,20.36,24.74,-22.06,17.51,-28.32,24.97,-19.57,-1.36,150.60,-47.01,31.72,1.88,-27.79,123.19,-69.70,-11.24,27.10,-38.31,27.58,36.07,-45.74,6.36,81.07,-28.54,-17.72,45.73,11.85,-45.01,-10.43,-32.11,0.00,1.30,-3.70,0.00,-4.94,2.10
2,C29,"Fabricación de vehículos automotores, remolques y semirremolques.",64.65,-42.20,68.96,-50.16,-5.20,17.05,-4.67,1.70,-1.87,11.87,4.09,3.25,-5.99,-32.01,73.68,-7.41,7.41,16.49,-13.29,11.49,-18.18,24.12,-0.60,-7.30,-15.84,-0.97,3.88,17.94,-11.60,3.37,-3.73,-1.69,2.36,-1.96,8.57,-24.52,-5.30,4.23,-2.74,-9.23,1.45,-2.98,-28.77,-14.36,64.82,6.47,8.31,-12.35,-20.55,-5.15,-28.59,1.73,0.00,71.21,252.35,-27.49,55.71
3,C291,Fabricación de vehículos automotores.,83.81,-43.76,69.14,-55.42,-9.85,31.75,-7.77,1.23,0.00,14.35,4.54,3.98,-7.29,-32.66,80.73,-7.27,8.72,18.04,-12.89,10.95,-17.54,23.37,-0.50,-8.00,-15.57,-2.00,2.90,20.17,-11.58,2.49,-3.79,-1.60,3.37,-4.04,11.35,-28.69,-2.65,3.83,-0.99,-11.61,0.29,-2.81,-36.90,-9.47,69.83,9.55,4.84,-10.92,-18.63,-5.19,-31.34,0.00,0.00,75.08,294.62,-29.13,59.99
3,C292,Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques.,-45.38,-11.97,66.75,15.72,17.20,-37.47,19.54,4.54,-12.76,-4.69,0.50,-2.82,5.63,-26.93,22.68,-8.86,-6.85,-3.16,-19.39,20.55,-28.06,37.32,-2.18,3.86,-19.74,14.50,16.51,-7.32,-11.97,16.25,-2.97,-2.84,-10.82,29.50,-22.61,42.62,-26.66,8.45,-20.63,21.17,12.18,-4.43,40.14,-33.02,38.98,-12.95,35.78,-21.13,-33.78,-4.82,-5.29,12.32,-0.01,50.01,-17.39,22.53,-19.82
2,C31,Fabricación de muebles.,-7.29,-17.52,26.01,-14.23,12.64,-28.21,-3.47,5.55,5.44,-18.05,-4.20,11.70,-24.06,5.98,7.54,-2.46,5.85,1.35,0.18,11.77,-2.10,12.73,-5.48,5.95,-22.50,-12.08,26.99,0.29,6.92,-5.62,-8.75,10.73,6.36,4.41,5.71,-13.79,-9.32,-0.25,-18.15,39.15,3.78,-3.91,-3.38,5.78,1.86,-0.78,-6.55,13.09,-9.50,-5.00,-22.03,-38.93,88.11,32.38,7.69,-6.76,7.72
3,C310,Fabricación de muebles.,-7.29,-17.52,26.01,-14.23,12.64,-28.21,-3.47,5.55,5.44,-18.05,-4.20,11.70,-24.06,5.98,7.54,-2.46,5.85,1.35,0.18,11.77,-2.10,12.73,-5.48,5.95,-22.50,-12.08,26.99,0.29,6.92,-5.62,-8.75,10.73,6.36,4.41,5.71,-13.79,-9.32,-0.25,-18.15,39.15,3.78,-3.91,-3.38,5.78,1.86,-0.78,-6.55,13.09,-9.50,-5.00,-22.03,-38.93,88.11,32.38,7.69,-6.76,7.72
2,C32,Otras industrias manufactureras.,-23.91,-28.35,-14.27,41.86,-16.14,4.87,-8.95,7.42,86.46,44.11,-8.74,-0.77,-4.58,-15.97,5.38,-21.46,-22.51,-8.10,-7.75,36.32,-19.26,26.66,-14.37,-1.04,-15.87,5.30,-3.26,4.96,7.01,8.60,-12.75,-6.79,-3.33,26.04,-10.84,10.28,-32.66,14.71,-1.31,0.93,13.87,-1.37,-1.48,-2.10,13.73,-4.83,-11.52,40.96,-23.60,1.81,-3.50,-0.07,40.78,5.60,3.76,-5.06,9.81
3,C321,"Fabricación de joyas, bisutería y artículos conexos.",-50.25,20.74,-33.50,132.67,-56.80,6.97,2.54,21.84,241.94,59.74,-10.46,0.38,-2.64,-24.92,0.92,-29.45,-61.16,-13.48,7.91,38.51,-36.35,15.84,39.29,21.07,-20.33,-20.67,5.79,12.55,21.67,1.40,-5.74,-18.39,-0.80,24.88,-12.02,50.55,-31.07,-8.35,-7.94,4.07,47.28,-11.77,-13.74,2.94,35.41,1.58,-18.20,83.47,-22.42,-9.39,-0.98,0.00,46.70,0.00,4.29,-0.46,1.19
3,C324,Fabricación de juegos y juguetes.,-16.40,-84.45,-24.29,-21.90,45.81,100.14,-0.87,7.44,9.79,118.34,-9.95,14.91,-69.95,10.30,11.66,-8.62,68.52,-27.78,37.95,60.74,-14.45,58.85,-39.66,-30.46,-49.68,-13.05,-34.99,63.47,-59.68,145.40,-11.55,-4.89,84.49,92.54,-5.37,-15.27,-88.12,69.77,-0.97,-16.57,-11.91,46.87,60.68,-2.14,84.33,-13.99,-18.10,3.16,-39.10,-24.87,-12.97,0.00,0.78,55.71,81.67,9.62,81.98
3,C329,Otras industrias manufactureras n.c.p.,-0.70,1.74,1.65,5.64,21.69,-6.33,-15.81,-0.20,8.92,-9.68,-1.74,-14.89,46.30,2.12,12.52,-10.50,10.65,0.42,-24.09,25.32,-10.91,15.73,-21.57,-3.52,1.29,29.30,-3.70,-4.03,7.41,6.33,-17.64,1.94,-15.85,8.68,-12.49,-10.32,-7.45,35.54,3.39,0.27,-6.53,6.56,3.95,-5.69,-12.51,-10.01,-0.66,1.58,-22.54,29.21,-6.14,-0.17,35.66,11.19,-4.70,-15.18,8.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Para obtener información detallada del IPI-M Base: 2015=100 solicitarla al INEC: http://www.ecuadorencifras.gob.ec/requerimientos-de-informacion/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: Sistema de Indicadores de la Producción (SIPRO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
